a,w,a_change,w_change
1,13,0.5776353320000001,8.14637676
1,14,1.4504231559999998,5.41613096
1,15,1.4123543234999998,2.7777413799999993
1,16,1.134318484,5.002710880000002
1,17,1.00908528,4.2533834839999995
1,18,0.7491350784999999,3.7321679075
1,20,0.7728251880000001,1.261552277499999
1,21,0.5313124583333332,3.6307150900000003
1,22,0.9107166824285714,2.5716021342857154
1,23,1.07419485175,3.2804516050000005
1,24,1.0312776202,2.0203802079999997
1,25,0.9769094293846154,2.3517527930769235
1,26,0.9972699216296297,2.0643242070370373
1,27,0.9832097999090906,1.7235330509090903
2,5,0.009361503000000049,5.406045519999999
2,6,0.5034285883333335,5.266956456
2,8,0.739723267,3.484694479
2,10,-0.011728062999999844,3.38076374
2,11,0.2833179986666665,3.1768664999999996
2,12,0.9297803259999999,2.2610964449999997
2,13,-0.0014279924999998084,4.385254140000001
2,14,1.1548564813333335,2.30203563
2,16,0.5088267231666667,3.3517087133333336
2,17,0.47511073216666677,3.4654826599999997
2,18,0.7612947076249998,3.2659790175000003
2,19,1.9958589310000001,3.4237103183333333
2,20,1.3911042377692306,3.290134164615384
2,21,1.2143410732857143,3.4535471971428575
2,22,1.4126524871785713,3.1038227335714295
2,23,1.1090533813,2.5273352403333322
2,24,0.9841260693333334,2.2561165624444444
2,25,1.478229430910569,2.7641384941463416
2,26,1.3940825996091952,2.5153198800000007
2,27,1.4175511648105266,2.1902950763157896
2,28,1.2229772105,1.28902912125
3,5,0.03237456999999999,4.6545329685
3,8,-0.2769715970000002,1.9610095165000008
3,9,-0.0036165439999997773,1.764723934500001
3,10,-0.016128107500000155,3.647279545
3,11,1.1159818749999997,0.6237559399999988
3,13,1.060258062,2.07240646
3,14,0.4724157469999999,1.8477114700000001
3,15,0.4129872990000001,4.485036090000001
3,16,-0.5443792960000002,2.2881236399999985
3,17,1.7243709271666665,4.163113986666667
3,18,0.5889626046,1.8901301619999997
3,19,1.4636309438000001,4.043605514
3,20,0.7296541193,1.9627234049999998
3,21,1.7681651175454547,3.417690245454546
3,22,1.8729227269047617,3.2731772033333337
3,23,1.771135365340909,3.0023202386363637
3,24,1.5227796674637681,2.819737887101449
3,25,1.5401775465783785,3.431673062486486
3,26,1.6270048719428574,3.1728132086857146
3,27,1.4740351284117648,2.4961920577941177
3,28,1.3729901490689655,1.7009854493103447
3,29,1.254170409142857,0.8374080128571428
4,4,-0.12021849199999979,1.2943932719999998
4,5,-0.3864838134999995,4.395565926
4,6,-1.3458266509999999,-0.18561849399999986
4,8,-1.2568299009999997,-0.635797288
4,11,0.27558814100000006,2.263339160000001
4,13,-0.10195300800000062,1.716643620000001
4,17,-0.18890431300000024,4.42320165
4,18,0.354080336142857,2.839331820000001
4,19,1.236807559,3.8499463583333333
4,20,1.0083464746,4.375601433
4,21,0.9150514630000001,3.595866459411765
4,22,1.2043202669600002,3.2875775196
4,23,1.323936545369565,2.7617130669565215
4,24,1.6371280102926828,2.8455606731707315
4,25,1.1175108684938273,3.0481906418518516
4,26,1.2961553575609757,2.9447252124390237
4,27,1.1706777295217392,2.5817182502173917
4,28,0.9772249105909091,2.4833930172727268
4,29,0.6848770315454543,1.3686103236363636
5,6,0.07512082700000011,0.4334631130000002
5,7,0.5334796659999999,0.9484248380000002
5,8,-0.3321615339999999,-1.8401678180000003
5,9,0.6488368470000001,1.0422331305000005
5,10,1.0582239510000004,0.9491434400000003
5,12,-0.03206085600000019,-0.14103975999999996
5,13,-0.7589423389999999,-1.1640485100000006
5,15,0.9866495300000002,1.5802351333333338
5,16,5.429461087000001,4.975143209999999
5,17,2.5067174220000004,-0.2683684099999972
5,18,1.26653338525,0.9903026899999983
5,19,0.47454124657142877,3.0306637214285717
5,20,0.3550951759999999,3.3156001727272737
5,21,0.8844289569999998,3.3028407568181817
5,22,1.0011328251578948,3.308315173157895
5,23,1.5719152925294118,2.9149113988235293
5,24,1.3629495133125,2.9636516681249994
5,25,0.7551094804599999,3.6522879226000002
5,26,0.8769716584047623,3.398179515595238
5,27,1.2504723463589746,3.739212974615384
5,28,1.3465336948,3.6954138182857132
5,29,1.3103093328,2.1636315100000005
6,8,-0.9319420850000002,-1.3129722509999997
6,9,1.2639717192,0.40256994540000013
6,10,3.7828932495000003,0.547212448499999
6,13,2.602725018,4.632313140000001
6,14,3.8755220379999997,1.4143439799999982
6,15,5.291590946500001,3.0811573349999986
6,16,1.4088279240000001,1.941620995000001
6,17,-0.1482567563333331,4.254874789999999
6,18,1.5616548107499997,4.639751840000001
6,19,2.0369405052500005,1.9798971325000005
6,20,0.1431297671666667,3.0957320508333335
6,21,0.7213368981600001,3.7633333564000004
6,22,0.867164776,3.138514211034482
6,23,0.7690827811923077,2.664863137307693
6,24,1.1763228237999999,3.4922340216
6,25,0.39458495946000005,3.3820891396
6,26,0.8289773983750001,3.263938554
6,27,0.7135070674054055,3.714060014594595
6,28,0.34666936938,5.399605852600001
6,29,0.32821830925000006,4.913159234375
6,30,-1.1686931629999995,2.444193809999998
7,3,1.479241986,2.8027069119999997
7,4,0.8891063464999993,2.123085196
7,7,-0.25942923399999973,1.4542104
7,8,0.6731122517500001,1.1142782677499996
7,9,2.1096636647500002,1.6171741085
7,10,2.512201254333333,1.0793491749999997
7,11,6.247423877000001,1.84792691
7,12,1.4323961979999995,2.995880835
7,13,0.12634658300000012,2.7843655949999997
7,14,-0.6531777179999997,1.2868214866666676
